day,vessel,count,batch
12,7,33563,4
12,8,35077,4
12,1,32465,4
12,2,34708,4
12,3,28998,4
12,4,30691,4
12,5,28408,4
12,6,31514,4
12,7,32617,4
12,8,31714,4
13,1,58760,4
13,2,55353,4
13,3,49063,4
13,4,53125,4
13,5,50272,4
13,6,43104,4
13,7,54655,4
13,8,36425,4
13,1,43355,4
13,2,43912,4
13,3,43513,4
13,4,42329,4
13,5,38287,4
13,6,33896,4
13,7,40756,4
13,8,26010,4
13,1,42506,4
13,2,40677,4
13,3,43884,4
13,4,42711,4
13,5,39606,4
13,6,34935,4
13,7,38469,4
13,8,32281,4
14,1,36855,5
14,2,38799,5
14,3,32798,5
14,4,37278,5
14,5,38037,5
14,6,37726,5
14,7,46150,5
14,8,31693,5
14,1,59312,5
14,2,38349,5
14,3,39749,5
14,4,39027,5
14,5,41296,5
14,6,39051,5
14,7,46664,5
14,8,30423,5
14,1,61583,5
14,2,39488,5
14,3,37003,5
14,4,40953,5
14,5,36916,5
14,6,34753,5
14,7,46766,5
14,8,33063,5
15,1,33046,5
15,2,53373,5
15,3,34226,5
15,4,31833,5
15,5,27500,5
15,6,28684,5
15,7,34567,5
15,8,30606,5
15,1,31695,5
15,2,50556,5
15,3,28492,5
15,4,28721,5
15,5,26528,5
15,6,25940,5
15,7,32151,5
15,8,30122,5
15,1,27783,5
15,2,44777,5
15,3,27959,5
15,4,25361,5
15,5,25617,5
15,6,23426,5
15,7,32874,5
15,8,28331,5
5,8,41096,2
5,8,32742,2
5,8,35826,2
2,6,59355,2
2,6,52493,2
2,6,50462,2
11,3,28599,4
11,3,24549,4
11,3,25478,4
16,1,22566,6
16,2,22171,6
16,3,24977,6
16,4,21432,6
16,5,30198,6
16,6,28185,6
16,7,35413,6
16,8,26831,6
16,1,13654,6
16,2,20805,6
16,3,24296,6
16,4,20424,6
16,5,29127,6
16,6,26238,6
16,7,33699,6
16,8,25638,6
16,1,23445,6
16,2,19518,6
16,3,23189,6
16,4,20355,6
16,5,26291,6
16,6,24361,6
16,7,30343,6
16,8,22200,6
17,1,32476,6
17,2,31471,6
17,3,41315,6
17,4,33863,6
17,5,34407,6
17,6,28932,6
17,7,32963,6
17,8,33922,6
17,1,24828,6
17,2,26152,6
17,3,35547,6
17,4,30280,6
17,5,30977,6
17,6,26505,6
17,7,32870,6
17,8,32145,6
17,1,29508,6
17,2,28960,6
17,3,32329,6
17,4,31689,6
17,5,31975,6
17,6,26324,6
17,7,33636,6
17,8,27813,6
18,1,29226,6
18,2,33118,6
18,3,26197,6
18,4,26158,6
